"period_id","scenario_id","item_id","site_id","avg_price","lag1","lag2","lag3","lag4","lag5"
593,35049,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,NA,NA,NA,NA
593,35051,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35102,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35104,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35106,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,NA,NA,NA,NA
593,35155,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35157,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,NA,NA,NA,NA
593,35158,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,NA,NA,NA,NA
593,35207,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35208,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35209,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35260,"133146-EA","NT-Woolworths",2.00999999046326,NA,NA,NA,NA,NA
593,35309,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35311,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35312,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35313,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35361,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
593,35415,"133146-EA","NT-Woolworths",2.00999999046326,NA,NA,NA,NA,NA
593,35465,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,NA,NA,NA,NA
593,35467,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35469,"133146-EA","NT-Woolworths",2.00999999046326,NA,NA,NA,NA,NA
593,35470,"133146-EA","NT-Woolworths",2.00999999046326,NA,NA,NA,NA,NA
593,35570,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35571,"133146-EA","NT-Woolworths",2.00999999046326,0.990000009536743,1.49000000953674,NA,NA,NA
593,35573,"133146-EA","NT-Woolworths",2.00999999046326,NA,NA,NA,NA,NA
593,35574,"133146-EA","NT-Woolworths",2.00999999046326,1.49000000953674,NA,NA,NA,NA
594,34997,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,0.990000009536743,1.49000000953674,NA,NA
594,34999,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35002,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,0.990000009536743,1.49000000953674,NA,NA
594,35050,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,NA,NA,NA,NA
594,35052,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,1.49000000953674,NA,NA,NA
594,35054,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35101,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,1.49000000953674,NA,NA,NA
594,35103,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35104,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,1.49000000953674,NA,NA,NA
594,35105,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35154,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35155,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,0.990000009536743,1.49000000953674,NA,NA
594,35205,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35207,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,1.49000000953674,NA,NA,NA
594,35208,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,1.49000000953674,NA,NA,NA
594,35209,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,1.49000000953674,NA,NA,NA
594,35210,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35259,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35261,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35310,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35313,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,0.990000009536743,1.49000000953674,NA,NA
594,35361,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,1.49000000953674,NA,NA,NA
594,35363,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,NA,NA,NA,NA
594,35366,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35414,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,NA,NA,NA,NA
594,35415,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,NA,NA,NA,NA
594,35416,"133146-EA","NT-Woolworths",1.49000000953674,NA,NA,NA,NA,NA
594,35418,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35465,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,0.990000009536743,NA,NA,NA
594,35518,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35519,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,NA,NA,NA,NA
594,35521,"133146-EA","NT-Woolworths",1.49000000953674,1.49000000953674,NA,NA,NA,NA
594,35569,"133146-EA","NT-Woolworths",1.49000000953674,0.990000009536743,NA,NA,NA,NA
594,35570,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,0.990000009536743,1.49000000953674,NA,NA
594,35573,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,NA,NA,NA,NA
594,35574,"133146-EA","NT-Woolworths",1.49000000953674,2.00999999046326,1.49000000953674,NA,NA,NA
